Gx,Gy,Gz,Label
-123.36,9.34,-8.09,Kanan
-118.53,2.17,-5.59,Kanan
-118.29,2.6,-8.49,Kanan
-120.4,9.4,-12.31,Kanan
-118.38,1.65,-5.98,Kanan
-119.39,3.02,-12.43,Kanan
-115.54,9.98,-9.34,Kanan
-120.49,5.53,-4.64,Kanan
-119.42,4.21,-13.53,Kanan
-117.31,12.89,-6.84,Kanan
