Gx+D29A1:D482,Gy,Gz,Label,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,,,Gx,Gy,Gz,
21.56,-12.67,-120.43,bawah,,,,,,,,,,,,,,,,,12.55,-125.25,10.23,depan,,13.04,123.69,10.41,belakang
19.57,-7.82,-122.23,bawah,,,,,,,,,,,,,,,,,12.73,-124.55,11.88,depan,,12.98,122.6,10.72,belakang
22.05,2.29,-124.76,bawah,,,,,,,,,,,,,,,,,15.42,-133.4,6.9,depan,,10.99,122.99,10.32,belakang
25.31,-4.31,-121.44,bawah,,,,,,,,,,,,,,,,,9.83,-125.71,10.78,depan,,13.16,123.08,9.74,belakang
16.95,-6.81,-122.63,bawah,,,,,,,,,,,,,,,,,12.89,-121.59,8.55,depan,,12.95,122.6,10.78,belakang
45.04,1.47,-116.24,bawah,,,,,,,,,,,,,,,,,17.74,-136.09,13.31,depan,,12.85,121.68,10.9,belakang
42.32,1.56,-118.14,bawah,,,,,,,,,,,,,,,,,11.21,-129.25,5.95,depan,,12.49,123.6,10.38,belakang
41.83,2.23,-116.67,bawah,,,,,,,,,,,,,,,,,13.25,-119.57,22.11,depan,,13.19,122.47,11.18,belakang
39.6,-3.24,-120.73,bawah,,,,,,,,,,,,,,,,,15.69,-136.49,11.05,depan,,13.01,122.75,11.15,belakang
31.73,-5.62,-120.92,bawah,,,,,,,,,,,,,,,,,9.37,-128.49,3.76,depan,,12.85,123.88,11.02,belakang
33.16,-1.86,-123.33,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
30.75,-2.53,-119.54,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
32.46,-4.79,-121.37,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
31.15,-4.95,-121.31,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
32.61,-3.6,-122.81,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
30.81,-5.95,-119.6,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
39.51,-0.46,-122.14,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
34.56,-3.05,-120.46,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
29.77,-7.57,-118.63,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
37.25,1.86,-117.98,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
16.7,4.98,-114.47,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
36.92,-1.8,-118.02,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
39.97,-0.89,-118.32,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
37.31,-4.67,-121.04,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
51.45,-3.33,-111.08,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
32.12,-4.73,-121.01,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
38.72,-20.64,-118.02,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
42.41,-6.81,-118.47,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
35.48,-10.75,-117.86,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
36.18,-22.81,-117.25,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
26.05,-24.58,-117.53,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
21.37,-20.37,-122.08,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
21.28,-20.4,-119.94,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
18.26,-20.76,-118.38,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
16.31,-22.63,-121.92,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
14.23,-20.49,-122.41,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
5.65,-24.92,-122.02,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
42.93,0.43,-114.47,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
37.5,1.1,-116.4,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
39.51,-3.6,-117.37,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
35.18,-6.69,-117.71,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
34.53,-9.77,-119.48,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
43.24,-2.14,-117.68,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
51.36,2.75,-136,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
23.08,-12.55,-122.93,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
25.34,-9.44,-123.94,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
45.68,-6.9,-116.18,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
64.27,-7.36,-107.97,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
44.06,22.23,-114.96,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
35.08,3.45,-119.82,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
41.31,9.34,-116.85,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
21.5,-5.5,-122.6,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
24.67,-5.59,-117.65,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
31.91,-7.69,-132.31,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
28.73,-6.11,-130.96,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
33.59,-12.7,-113.31,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
20.76,-15.24,-113.07,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
22.08,-11.18,-126.53,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
24.85,1.5,-115.85,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
27.6,-15.63,-127.88,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
19.73,-19.82,-122.26,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
20.58,-22.56,-126.63,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
35.66,-3.48,-113.31,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
28.09,-10.17,-119.15,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
4.46,6.05,-128.73,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
29.74,14.08,-121.68,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
17.8,10.44,-118.38,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
23.66,1.34,-117.59,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
32.64,11.11,-116.73,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
29.16,11.08,-122.69,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
20.06,-19.02,-119.82,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
32.52,-10.17,-119.3,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
17.13,-12.76,-121.92,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
24.85,-6.9,-117.13,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
27.08,5.44,-127.63,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
15.11,-9.22,-126.66,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
13.95,-5.13,-119.69,bawah,,,,,,,,,,,,,,,,,,,,,,,,,
126.56,1.4,37.68,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
123.24,1.44,40.46,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
127.88,-0.76,37.71,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.28,0.85,39.73,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
123.94,-0.52,39.51,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
126.78,-2.6,36.95,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.01,-1.1,34.81,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
123.82,-0.58,38.17,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
128.98,-2.44,34.6,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
126.66,0.21,34.93,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.25,-1.53,37.56,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
127.73,0.31,34.02,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
124.49,1.22,37.71,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.62,0.31,36.7,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
124.27,0.64,35.73,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.62,-0.12,36.61,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.31,0.24,36.67,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.89,-0.27,35.54,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
126.05,0.46,37.25,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.95,0.12,37.16,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
128.06,0.27,36.79,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
123.05,0.58,39.85,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
124.21,-1.68,38.23,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
126.9,-0.52,37.86,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
123.08,-0.15,41.13,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
124.21,0.61,41.07,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
124.76,-0.7,39.57,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.71,0.21,38.08,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
124.52,-1.25,39.18,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
125.4,1.56,39.3,kiri,,,,,,,,,,,,,,,,,,,,,,,,,
